INFO 2024-09-12 11:53:44,476 autoreload Watching for file changes with StatReloader
DEBUG 2024-09-12 11:53:44,477 autoreload Waiting for apps ready_event.
DEBUG 2024-09-12 11:53:44,551 autoreload Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2024-09-12 11:53:44,571 autoreload Watching dir /home/arpreet/Desktop/ContactsApi/myenv/lib/python3.12/site-packages/rest_framework/templates with glob **/*.
DEBUG 2024-09-12 11:53:44,572 autoreload Watching dir /home/arpreet/Desktop/ContactsApi/locale with glob **/*.mo.
DEBUG 2024-09-12 11:53:44,573 autoreload Watching dir /home/arpreet/Desktop/ContactsApi/myenv/lib/python3.12/site-packages/django/locale with glob **/*.mo.
DEBUG 2024-09-12 11:53:44,574 autoreload Watching dir /home/arpreet/Desktop/ContactsApi/myenv/lib/python3.12/site-packages/rest_framework/locale with glob **/*.mo.
DEBUG 2024-09-12 11:53:44,580 autoreload Watching dir /home/arpreet/Desktop/ContactsApi/authentication/user/locale with glob **/*.mo.
DEBUG 2024-09-12 11:53:44,581 autoreload Watching dir /home/arpreet/Desktop/ContactsApi/authentication/contact/locale with glob **/*.mo.
DEBUG 2024-09-12 11:53:44,583 autoreload Watching dir /home/arpreet/Desktop/ContactsApi/authentication/msg/locale with glob **/*.mo.
DEBUG 2024-09-12 11:53:44,616 utils (0.000) 
                SELECT VERSION(),
                       @@sql_mode,
                       @@default_storage_engine,
                       @@sql_auto_is_null,
                       @@lower_case_table_names,
                       CONVERT_TZ('2001-01-01 01:00:00', 'UTC', 'UTC') IS NOT NULL
            ; args=None; alias=default
DEBUG 2024-09-12 11:53:44,616 utils (0.000) SET SESSION TRANSACTION ISOLATION LEVEL READ COMMITTED; args=None; alias=default
DEBUG 2024-09-12 11:53:44,618 utils (0.002) 
            SELECT
                table_name,
                table_type,
                table_comment
            FROM information_schema.tables
            WHERE table_schema = DATABASE()
            ; args=None; alias=default
DEBUG 2024-09-12 11:53:44,624 utils (0.001) SELECT `django_migrations`.`id`, `django_migrations`.`app`, `django_migrations`.`name`, `django_migrations`.`applied` FROM `django_migrations`; args=(); alias=default
DEBUG 2024-09-12 11:53:44,676 autoreload File /home/arpreet/Desktop/ContactsApi/myenv/lib/python3.12/site-packages/django/utils/dates.py first seen with mtime 1723101105.0062273
DEBUG 2024-09-12 11:53:44,676 autoreload File /home/arpreet/Desktop/ContactsApi/myenv/lib/python3.12/site-packages/django/contrib/auth/base_user.py first seen with mtime 1723101104.5152202
DEBUG 2024-09-12 11:53:44,676 autoreload File /home/arpreet/Desktop/ContactsApi/myenv/lib/python3.12/site-packages/django/core/management/commands/runserver.py first seen with mtime 1723101104.9412262
DEBUG 2024-09-12 11:53:44,677 autoreload File /usr/lib/python3.12/operator.py first seen with mtime 1722447828.0
DEBUG 2024-09-12 11:53:44,677 autoreload File /home/arpreet/Desktop/ContactsApi/myenv/lib/python3.12/site-packages/django/db/migrations/loader.py first seen with mtime 1723101104.9582267
DEBUG 2024-09-12 11:53:44,677 autoreload File /home/arpreet/Desktop/ContactsApi/myenv/lib/python3.12/site-packages/django/db/models/functions/math.py first seen with mtime 1723101104.9722269
DEBUG 2024-09-12 11:53:44,677 autoreload File /home/arpreet/Desktop/ContactsApi/myenv/lib/python3.12/site-packages/django/utils/duration.py first seen with mtime 1723101105.0062273
DEBUG 2024-09-12 11:53:44,677 autoreload File /usr/lib/python3.12/reprlib.py first seen with mtime 1722447828.0
DEBUG 2024-09-12 11:53:44,677 autoreload File /usr/lib/python3.12/threading.py first seen with mtime 1722447828.0
DEBUG 2024-09-12 11:53:44,677 autoreload File /usr/lib/python3.12/email/mime/multipart.py first seen with mtime 1722447828.0
DEBUG 2024-09-12 11:53:44,677 autoreload File /usr/lib/python3.12/asyncio/staggered.py first seen with mtime 1722447828.0
DEBUG 2024-09-12 11:53:44,678 autoreload File /home/arpreet/Desktop/ContactsApi/myenv/lib/python3.12/site-packages/django/utils/translation/reloader.py first seen with mtime 1723101105.0112274
DEBUG 2024-09-12 11:53:44,678 autoreload File /usr/lib/python3.12/lib-dynload/_asyncio.cpython-312-x86_64-linux-gnu.so first seen with mtime 1722447828.0
DEBUG 2024-09-12 11:53:44,678 autoreload File /home/arpreet/Desktop/ContactsApi/myenv/lib/python3.12/site-packages/pymysql/charset.py first seen with mtime 1725696118.9133182
DEBUG 2024-09-12 11:53:44,678 autoreload File /home/arpreet/Desktop/ContactsApi/myenv/lib/python3.12/site-packages/django/db/backends/mysql/introspection.py first seen with mtime 1723101104.9502265
DEBUG 2024-09-12 11:53:44,678 autoreload File /home/arpreet/Desktop/ContactsApi/myenv/lib/python3.12/site-packages/django/core/servers/basehttp.py first seen with mtime 1723101104.9452264
DEBUG 2024-09-12 11:53:44,678 autoreload File /home/arpreet/Desktop/ContactsApi/myenv/lib/python3.12/site-packages/jwt/api_jwt.py first seen with mtime 1723148114.9820678
DEBUG 2024-09-12 11:53:44,678 autoreload File /home/arpreet/Desktop/ContactsApi/myenv/lib/python3.12/site-packages/pymysql/_auth.py first seen with mtime 1725696118.912318
DEBUG 2024-09-12 11:53:44,678 autoreload File /home/arpreet/Desktop/ContactsApi/myenv/lib/python3.12/site-packages/django/middleware/common.py first seen with mtime 1723101104.993227
DEBUG 2024-09-12 11:53:44,679 autoreload File /home/arpreet/Desktop/ContactsApi/myenv/lib/python3.12/site-packages/django/db/migrations/operations/__init__.py first seen with mtime 1723101104.9612267
DEBUG 2024-09-12 11:53:44,679 autoreload File /home/arpreet/Desktop/ContactsApi/myenv/lib/python3.12/site-packages/django/views/i18n.py first seen with mtime 1723101105.0122273
DEBUG 2024-09-12 11:53:44,679 autoreload File /usr/lib/python3.12/email/message.py first seen with mtime 1722447828.0
DEBUG 2024-09-12 11:53:44,679 autoreload File /home/arpreet/Desktop/ContactsApi/myenv/lib/python3.12/site-packages/django/contrib/postgres/validators.py first seen with mtime 1723101104.7532237
DEBUG 2024-09-12 11:53:44,679 autoreload File /home/arpreet/Desktop/ContactsApi/authentication/user/__init__.py first seen with mtime 1723102505.152019
DEBUG 2024-09-12 11:53:44,679 autoreload File /home/arpreet/Desktop/ContactsApi/myenv/lib/python3.12/site-packages/django/views/generic/__init__.py first seen with mtime 1723101105.0142274
DEBUG 2024-09-12 11:53:44,679 autoreload File /home/arpreet/Desktop/ContactsApi/myenv/lib/python3.12/site-packages/pymysql/constants/CLIENT.py first seen with mtime 1725696118.9163184
DEBUG 2024-09-12 11:53:44,679 autoreload File /usr/lib/python3.12/email/mime/nonmultipart.py first seen with mtime 1722447828.0
DEBUG 2024-09-12 11:53:44,680 autoreload File /home/arpreet/Desktop/ContactsApi/myenv/lib/python3.12/site-packages/django/db/migrations/migration.py first seen with mtime 1723101104.9592266
DEBUG 2024-09-12 11:53:44,680 autoreload File /home/arpreet/Desktop/ContactsApi/myenv/lib/python3.12/site-packages/django/contrib/staticfiles/apps.py first seen with mtime 1723101104.923226
DEBUG 2024-09-12 11:53:44,680 autoreload File /home/arpreet/Desktop/ContactsApi/myenv/lib/python3.12/site-packages/django/db/models/functions/datetime.py first seen with mtime 1723101104.9722269
DEBUG 2024-09-12 11:53:44,680 autoreload File /usr/lib/python3.12/_compat_pickle.py first seen with mtime 1722447828.0
DEBUG 2024-09-12 11:53:44,680 autoreload File /home/arpreet/Desktop/ContactsApi/myenv/lib/python3.12/site-packages/django/db/models/lookups.py first seen with mtime 1723101104.9652267
DEBUG 2024-09-12 11:53:44,680 autoreload File /usr/lib/python3.12/email/feedparser.py first seen with mtime 1722447828.0
DEBUG 2024-09-12 11:53:44,680 autoreload File /usr/lib/python3.12/lib-dynload/_contextvars.cpython-312-x86_64-linux-gnu.so first seen with mtime 1722447828.0
DEBUG 2024-09-12 11:53:44,680 autoreload File /usr/lib/python3.12/asyncio/base_events.py first seen with mtime 1722447828.0
DEBUG 2024-09-12 11:53:44,681 autoreload File /home/arpreet/Desktop/ContactsApi/myenv/lib/python3.12/site-packages/jwt/types.py first seen with mtime 1723148114.984068
DEBUG 2024-09-12 11:53:44,681 autoreload File /usr/lib/python3.12/pkgutil.py first seen with mtime 1722447828.0
DEBUG 2024-09-12 11:53:44,681 autoreload File /home/arpreet/Desktop/ContactsApi/myenv/lib/python3.12/site-packages/rest_framework/utils/json.py first seen with mtime 1723101202.2475843
